ID da resposta,Data de início,Data da última ação,Endereço IP,O que achou do sistema de submissão de trabalhos?,O que achou do sistema de submissão de trabalhos? - comment,Você mora em Curitiba?,O que você achou das instalações do evento?,O que você achou das instalações do evento? - comment,Você teve alguma dificuldade para se hospedar no hotel?,"Considerando todos os aspectos locais do evento, nos dê sua opinião:

	O que você achou do evento?",Você teve acesso a todos os recursos necessários para sua apresentação?,"Se não, quais recursos faltaram?","Durante o evento, você teve alguma dificuldade para se alimentar?"
72,2015-04-27 09:34:59,2015-04-27 09:38:32,179186212100,Bom,,Sim,Ótimo,,N/A,"Achei o evento de muita qualidade, bem organizado e oferecendo conteúdos com cada vez mais qualidade.",Sim,,Não
73,2015-04-27 10:02:43,2015-04-27 10:02:43,66.249.88.192,,,N/A,,,N/A,,N/A,,N/A
74,2015-04-27 10:03:22,2015-04-27 10:03:22,66.249.90.70,,,N/A,,,N/A,,N/A,,N/A
75,2015-04-27 10:04:17,2015-04-27 10:04:17,66.249.90.66,,,N/A,,,N/A,,N/A,,N/A
76,2015-04-27 10:14:20,2015-04-27 10:14:20,187.95.115.200,,,N/A,,,N/A,,N/A,,N/A
77,2015-04-27 11:35:27,2015-04-27 11:40:07,189.31.192.108,Ótimo,,Não,Bom,"O local estava bem organizado e informativo, de modo com que todos presentes no recinto estivem a vontade de se deslocar para outros lugares e retornar sem dificuldades.",Não,"O evento foi maravilhoso, pois havia uma gama de experiências, de conhecimento, e interesses comuns, e graças a isso foi possível obter esse grande resultado, em suma, o evento estava se superando em vários aspectos",Sim,,Não
78,2015-04-27 12:38:13,2015-04-27 12:38:13,177.40.53.214,,,N/A,,,N/A,,N/A,,N/A
79,2015-04-27 12:51:38,2015-04-27 12:58:45,186214198123,Bom,"Acostumado ao mesmo sistema. (PS: Quem era de fora tinha direito a translado? E não me hospedei, fui e voltei sem hospedagem)",Não,Regular,"Apesar de ser a PUC, e é um local privado, ter aberto para um evento como o FliSOL e fornecer laboratórios, é complicado ver maquinas windows. Outro ponto que tivemos contratempos, a maquina virtual só funcionava com usuario administrador Linux, o cabo HDMI requisitado foi entregue no lugar um microHDMI. Mas fora esses empecilhos, teve um bom aporte para os participantes.",Não,"Sempre é bom reencontrar velhos amigos da comunidade, mas ainda falta participação ativa. O hackathon só teve participantes que organizaram o mesmo. Falta ver como envolver melhor, divulgar na hora do evento mesmo.",Não,O conversor VGA/HDMI requisitado. Foi entregue um conversor VGA/MicroHDMI.,Sim
80,2015-04-27 14:12:40,2015-04-27 14:12:40,200.238.164.5,,,N/A,,,N/A,,N/A,,N/A
81,2015-04-27 14:17:09,2015-04-27 14:17:09,66.249.90.70,,,N/A,,,N/A,,N/A,,N/A
82,2015-04-27 20:06:49,2015-04-27 20:08:04,186205227120,Ótimo,,Não,Ótimo,,Não,"Muito bem organizado, e com uma boa gama de palestras",Sim,,Não
83,2015-04-28 06:42:07,2015-04-28 06:42:07,189.42.41.146,,,N/A,,,N/A,,N/A,,N/A
84,2015-04-28 06:43:13,2015-04-28 06:43:13,150.70.173.59,,,N/A,,,N/A,,N/A,,N/A
85,2015-04-28 07:26:09,2015-04-28 07:26:09,200.192.114.4,,,N/A,,,N/A,,N/A,,N/A
86,2015-04-28 07:43:17,2015-04-28 07:43:17,200.192.114.4,,,N/A,,,N/A,,N/A,,N/A
87,2015-04-28 12:37:27,2015-04-28 12:44:07,179.179.9.167,Bom,"Se possível fosse, pelo menos um grande nome seria interessante, como o Maddog!",Sim,Bom,,N/A,Melhor estrutura não tem! A PUC é sensacional!,Sim,,Sim
88,2015-04-28 20:56:51,2015-04-28 21:16:52,177.157.49.0,Ótimo,,Sim,Bom,,N/A,Foi um bom evento. O único inconveniente foi o estacionamento.,Sim,,Não
89,2015-04-29 01:38:31,2015-04-29 01:38:31,177.132.18.193,,,N/A,,,N/A,,N/A,,N/A
90,2015-04-29 08:41:47,2015-04-29 08:50:44,200.192.114.8,Bom,,Não,Bom,,Não,"Um evento bastante interessante, entretanto, não foi bem divulgado dentro da PUCPR. Para o próximo evento os organizadores poderiam entrar em contato com o departamento de informática da PUCPR, o PPGIA para que os professores informem aos alunos os eventos que ocorrem dentro da nossa instituição. Sugiro também que peçam aos diretores de curso das áreas relacionadas que também divulguem o evento.",Sim,,Não
91,2015-04-29 08:51:41,2015-04-29 08:51:41,200.192.114.8,,,N/A,,,N/A,,N/A,,N/A
92,2015-04-29 11:17:55,2015-04-29 11:18:32,172.17.6.42,Ótimo,,Sim,Ótimo,,N/A,bão,Sim,,Não
93,2015-04-29 11:18:38,2015-04-29 11:18:38,172.17.6.42,,,N/A,,,N/A,,N/A,,N/A
94,2015-04-30 07:10:13,2015-04-30 07:13:28,177.92.47.131,Normal,,Sim,Ótimo,,N/A,"Bem organizado, não tive problema algum!
Excelentes palestrantes e boa estrutura. ",Sim,,Não
95,2015-04-30 10:37:57,2015-04-30 10:37:57,200.17.245.8,,,N/A,,,N/A,,N/A,,N/A
96,2015-05-02 00:14:07,2015-05-02 00:14:07,66.249.65.136,,,N/A,,,N/A,,N/A,,N/A
97,2015-05-02 00:24:24,2015-05-02 00:24:24,66.249.65.132,,,N/A,,,N/A,,N/A,,N/A
98,2015-05-02 07:00:50,2015-05-02 07:03:14,200.142.148.34,Ótimo,"Muito bom o evento, fui no ano de 2013 e nesse ano realmente a estrutura melhorou bastante e ouvir o Maddog sempre é um privilégio...",Sim,Ótimo,,N/A,"Excelente, muito bom o conteúdo das palestras, o ambiente, realmente superou as expectativas....",Sim,,Sim
99,2015-05-04 07:43:42,2015-05-04 07:43:42,177.204.2.239,,,N/A,,,N/A,,N/A,,N/A
100,2015-05-04 08:21:23,2015-05-04 08:21:23,200.236.31.76,,,N/A,,,N/A,,N/A,,N/A
101,2015-05-04 13:40:21,2015-05-04 13:42:10,200.192.114.8,Bom,,Sim,Bom,,N/A,"Evento bem organizado, palestrantes de qualidade",Sim,,Não
